ID,Child_Type,Union,Gender,Alive,Livewith,Relation,Caregiver,Slum,PI16_DATE,Child_Age
464,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,18 Jul 15,8.599589322381931
465,Children Not Mentioned,,Female,No,,,, ,18 Jul 15,2.190280629705681
470,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,20 Jul 15,6.973305954825462
472,Children From Other Unions,1,Female,Yes,No,Biological Mother,Sibling (Sister), ,16 Jul 15,13.08418891170431
475,Children From Other Unions,1,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,19 Jul 15,12.10403832991102
475,Children From Other Unions,1,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,19 Jul 15,7.181382614647502
476,Children From Other Unions,1,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,21 Jul 15,12.40793976728268
476,Children From Other Unions,1,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,21 Jul 15,8.410677618069816
476,Children From Other Unions,1,Female,No,,Biological Mother,, ,21 Jul 15,5.002053388090349
477,Children From Other Unions,1,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,21 Jul 15,17.45653661875428
