ID,Child_Type,Union,Gender,Alive,Livewith,Relation,Caregiver,Slum,PI16_DATE,Child_Age
302,Children From Other Unions,1,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,29 Jun 15,6.433949349760438
303,Children From Other Unions,1,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,01 Jul 15,9.453798767967145
303,Children From Other Unions,2,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,01 Jul 15,5.420944558521561
304,Children With Biological Father,0,Male,Yes,No,Biological Mother,Step-Mother, ,01 Jul 15,5.223819301848049
304,Children From Other Unions,1,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,01 Jul 15,11.61670088980151
308,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,30 Jun 15,15.16495550992471
308,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,30 Jun 15,9.995893223819301
308,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,30 Jun 15,8.427104722792608
308,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,30 Jun 15,18.19849418206708
311,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,03 Jul 15,10.49965776865161
311,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,03 Jul 15,8.501026694045175
311,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,03 Jul 15,4.501026694045175
319,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,04 Jul 15,2.165639972621492
320,Children From Other Unions,1,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,04 Jul 15,.9144421629021219
326,Children From Other Unions,1,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,03 Jul 15,25.04859685147159
326,Children From Other Unions,1,Male,Yes,No,Biological Mother,Biolgical Mother, ,03 Jul 15,23.3264887063655
326,Children From Other Unions,1,Male,Yes,No,Biological Mother,Biolgical Mother, ,03 Jul 15,27.04722792607803
332,Children From Other Unions,1,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,05 Jul 15,15.08555783709788
332,Children From Other Unions,1,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,05 Jul 15,13.00479123887748
333,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,05 Jul 15,8.720054757015742
333,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,05 Jul 15,6.001368925393566
335,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,05 Jul 15,21.99863107460643
335,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,05 Jul 15,12.99931553730322
335,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,05 Jul 15,8.999315537303216
336,Children From Other Unions,1,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,05 Jul 15,17.99863107460643
336,Children From Other Unions,1,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,05 Jul 15,12.08213552361396
337,Children Not Mentioned,,Female,Yes,Yes,,Biolgical Mother, ,05 Jul 15,1.111567419575633
342,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,03 Jul 15,13.13894592744695
342,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,03 Jul 15,8.991101984941821
343,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,04 Jul 15,15.99452429842574
343,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,04 Jul 15,8.837782340862423
344,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,02 Jul 15,9.828884325804244
345,Children From Other Unions,1,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,02 Jul 15,7.093771389459275
347,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,04 Jul 15,9.921971252566735
349,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,03 Jul 15,18.99794661190965
349,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,03 Jul 15,16.33401779603012
349,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,03 Jul 15,12.24914442162902
351,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,05 Jul 15,8.260095824777549
