PI7,ID,S10_2,S10_3,S10_4_Y,S10_4_M,S10_4_D,S10_4,S10_5,S10_6_Y,S10_6_M,S10_6_D,S10_6,S10_7,S10_8
EBD7074C-64A7-4686-92C9-03BCEB821B07,224,1,Married,1998,6,1,01 Jun 98,No,2008,6,1,01 Jun 08,Widowed,4
B5C690C8-1A2C-4792-BFDF-32FCCA1FCC29,427,1,Cohabitating,1997,6,1,01 Jun 97,No,1997,6,1,01 Jun 97,Widowed,1
642891BF-AC0E-40A3-8F9E-42092E487952,53,1,Cohabitating,1990,6,1,01 Jun 90,No,1994,2,1,01 Feb 94,Separated,1
EA18E68E-8D30-4815-8C99-B21811DA23A2,148,1,Cohabitating,1995,6,1,01 Jun 95,No,2007,6,1,01 Jun 07,Separated,3
223D216C-119F-4D5A-BBF1-46B31138052A,360,1,Married,2001,8,1,01 Aug 01,No,2003,7,1,01 Jul 03,Widowed,1
8A3AC513-B419-4701-A467-B0FEC608F1D7,359,1,Cohabitating,1992,7,1,01 Jul 92,No,2002,7,1,01 Jul 02,Separated,6
EF606AA9-A039-4010-91CC-C49ABD373CE4,414,1,Cohabitating,1991,6,1,01 Jun 91,No,2003,6,1,01 Jun 03,Separated,2
D77127B2-0D61-4DDA-9E28-F0250B1FFD16,303,1,Non-Cohabitating Steady Relationship,2004,7,1,01 Jul 04,No,2005,7,1,01 Jul 05,Separated,1
D77127B2-0D61-4DDA-9E28-F0250B1FFD16,303,2,Cohabitating,2009,7,1,01 Jul 09,No,2010,6,1,01 Jun 10,Widowed,1
133A9845-79D9-40F2-BE2D-8006EFCC046D,345,1,Cohabitating,2013,7,1,01 Jul 13,Yes,,,,,,1
53C33111-A547-4999-9E5A-FBD8AD1F634D,76,1,Cohabitating,2012,6,1,01 Jun 12,No,2014,4,1,01 Apr 14,Separated,1
AAE5F243-41E3-40A7-8456-3B42526A6033,302,1,Cohabitating,2004,6,1,01 Jun 04,No,2009,6,1,01 Jun 09,Separated,3
2B7C5EF8-97EF-4310-906B-D6D6AD50A5CA,387,1,Cohabitating,1995,6,1,01 Jun 95,No,1995,12,1,01 Dec 95,Separated,2
407A981C-F3C8-44EA-B848-F9FAC6C91D19,192,2,Cohabitating,2008,6,1,01 Jun 08,No,2010,6,1,01 Jun 10,Separated,2
407A981C-F3C8-44EA-B848-F9FAC6C91D19,192,1,Cohabitating,2000,1,1,01 Jan 00,No,2007,6,1,01 Jun 07,Widowed,3
3B2BA599-A9CE-4F15-BEC9-913F6F9C45D7,461,1,Cohabitating,2008,6,1,01 Jun 08,No,2012,6,1,01 Jun 12,Separated,1
E7E91F5C-5887-42D5-9933-022177A9A648,304,1,Non-Cohabitating Steady Relationship,2002,1,1,01 Jan 02,No,2003,9,1,01 Sep 03,Separated,1
559EA804-6841-4B76-8FFD-1EA7C39666EE,120,1,Non-Cohabitating Casual Relationship,1900,5,1,01 May 00,No,1900,4,1,01 Apr 00,Separated,1
559EA804-6841-4B76-8FFD-1EA7C39666EE,120,2,Non-Cohabitating Casual Relationship,1900,5,1,01 May 00,No,1900,3,1,01 Mar 00,Separated,1
633DCD2C-5A3C-4469-A5E8-13B6BACB6184,232,1,Cohabitating,2000,6,1,01 Jun 00,No,2007,6,1,01 Jun 07,Separated,2
13694E45-E04C-485B-B334-52F6A5FDEF57,41,1,Non-Cohabitating Steady Relationship,1900,6,1,01 Jun 00,No,1900,6,1,01 Jun 00,Separated,2
3E5ED555-A458-4F43-884B-1B0994BEED07,401,1,Non-Cohabitating Casual Relationship,1900,7,1,01 Jul 00,No,2015,6,1,01 Jun 15,Separated,3
90569AD4-AD38-4D72-8326-48BA702E0F45,62,1,Non-Cohabitating Casual Relationship,1900,1,1,01 Jan 00,No,2005,6,1,01 Jun 05,Separated,1
E33BD4EF-31D8-427A-A940-1666ED0E5995,27,1,Cohabitating,2002,6,1,01 Jun 02,No,2009,6,1,01 Jun 09,Separated,2
99E4EF80-4427-40F3-B849-DDD723F8FED4,85,1,Non-Cohabitating Casual Relationship,1999,9,1,01 Sep 99,No,2010,6,1,01 Jun 10,Separated,2
B64108E2-168F-42A2-8CE1-0AA458CE7369,483,1,Non-Cohabitating Casual Relationship,2015,1,1,01 Jan 15,No,2015,7,1,01 Jul 15,Separated,1
CF98DE2C-70FC-4F0F-A8A6-D12354617086,212,1,Non-Cohabitating Casual Relationship,2000,6,1,01 Jun 00,No,2008,6,1,01 Jun 08,Separated,1
73C288C2-DD57-4390-85BD-CA5BB6E76F75,63,1,Married,1900,6,1,01 Jun 00,No,1900,6,1,01 Jun 00,Widowed,2
69243B61-D4AC-4AE1-A272-2159EBA4F848,366,1,Cohabitating,2000,7,1,01 Jul 00,No,2010,7,1,01 Jul 10,Widowed,5
E7F353E5-B91E-4C78-BF0E-ED31542A3F6D,266,1,Non-Cohabitating Casual Relationship,2004,6,1,01 Jun 04,No,2008,6,1,01 Jun 08,Separated,1
833A7AED-34D8-4C47-B591-C7B166F212B6,384,1,Married,1993,7,1,01 Jul 93,No,2007,9,1,01 Sep 07,Widowed,4
9D0083F5-3F8F-47A2-ADDE-A67266BBD2BE,152,1,Married,1990,6,1,01 Jun 90,No,2004,6,1,01 Jun 04,Widowed,4
F182944B-2F3B-41F1-8260-192B675440F0,332,1,Cohabitating,2000,7,1,01 Jul 00,No,2008,7,1,01 Jul 08,Widowed,2
2D92401C-DE3D-4798-9F18-54E6D37D34B1,261,1,Non-Cohabitating Steady Relationship,2013,6,1,01 Jun 13,No,2015,2,1,01 Feb 15,Widowed,1
8A87A611-5440-4652-B9D8-AE514A722A04,169,1,Non-Cohabitating Casual Relationship,2001,6,1,01 Jun 01,No,2005,6,1,01 Jun 05,Separated,1
752FDB3E-7CD7-4CC9-8E82-0ABF9E61CF92,118,1,Non-Cohabitating Casual Relationship,2005,6,1,01 Jun 05,No,2007,6,1,01 Jun 07,Separated,1
C1A61B79-4E43-440C-9883-7105901CBE7C,383,1,Cohabitating,1993,7,1,01 Jul 93,No,2001,11,1,01 Nov 01,Widowed,2
64FBB211-524D-4A05-8F47-4CF215FFB172,131,1,Non-Cohabitating Casual Relationship,2004,6,1,01 Jun 04,No,2007,6,1,01 Jun 07,Separated,1
9398BF10-69A2-4157-905D-3B6134C9BEF2,434,1,Cohabitating,2001,10,1,01 Oct 01,No,2008,11,1,01 Nov 08,Separated,3
