ID,Child_Type,Union,Gender,Alive,Livewith,Relation,Caregiver,Slum,BINT_TIME1_DATE,Child_Age
56,Children Not Mentioned,,Male,Yes,Yes,,Biolgical Mother, ,22 Jan 16,22.05612594113621
56,Children Not Mentioned,,Female,Yes,Yes,,Biolgical Mother, ,22 Jan 16,20.05749486652977
58,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,23 Jan 16,5.483915126625599
60,Children From Other Unions,1,Male,No,,Biological Mother,, ,24 Jan 16,11.72073921971253
63,Children From Other Unions,1,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,23 Jan 16,6.737850787132102
64,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,23 Jan 16,18.81177275838467
64,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,23 Jan 16,14.81177275838467
64,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,23 Jan 16,10.56262833675565
64,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,23 Jan 16,13.07049965776865
65,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,20 Jan 16,20.290212183436
65,Children With Biological Father,0,Female,Yes,No,Biological Mother,Biological Father, ,20 Jan 16,15.1047227926078
65,Children With Biological Father,0,Male,Yes,No,Biological Mother,Biological Father, ,20 Jan 16,13.29226557152635
65,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,20 Jan 16,11.28268309377139
65,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,20 Jan 16,8.377823408624231
65,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,20 Jan 16,5.998631074606434
65,Children From Other Unions,1,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,20 Jan 16,1.71937029431896
66,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,23 Jan 16,8.898015058179329
66,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,23 Jan 16,8.060232717316905
67,Children With Biological Father,0,Male,No,,Biological Mother,, ,23 Jan 16,12.26557152635181
68,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,24 Jan 16,12.08761122518823
68,Children From Other Unions,1,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,24 Jan 16,2.119096509240246
71,Children From Other Unions,1,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,22 Jan 16,22.40109514031485
71,Children From Other Unions,1,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,22 Jan 16,19.91512662559891
71,Children From Other Unions,1,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,22 Jan 16,13.16632443531828
71,Children From Other Unions,2,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,22 Jan 16,6.072553045859
72,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,22 Jan 16,15.00616016427105
72,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,22 Jan 16,12.25735797399042
73,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,23 Jan 16,8.432580424366872
73,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,23 Jan 16,4.692676249144422
74,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,23 Jan 16,6.357289527720739
75,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,24 Jan 16,4.219028062970568
76,Children From Other Unions,1,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,24 Jan 16,7.096509240246407
76,Non-Biological Children Under Five,,Male,,Yes,Maternal Aunt,Biolgical Mother, ,24 Jan 16,6.061601642710472
79,Children From Other Unions,1,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,24 Jan 16,.6981519507186859
81,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,24 Jan 16,13.22655715263518
84,Children From Other Unions,1,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,24 Jan 16,12.55578370978782
86,Children From Other Unions,1,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,23 Jan 16,1.130732375085558
87,Children From Other Unions,2,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,22 Jan 16,115.6413415468857
87,Children From Other Unions,2,Female,Yes,No,Biological Mother,Other Relative (Maternal), ,22 Jan 16,23.14031485284052
88,Children From Other Unions,1,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,22 Jan 16,8.164271047227926
88,Children From Other Unions,2,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,22 Jan 16,.3066392881587953
90,Children From Other Unions,1,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,24 Jan 16,8.101300479123887
92,Children From Other Unions,1,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,25 Jan 16,9.612594113620808
96,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,26 Jan 16,12.42710472279261
96,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,26 Jan 16,9.639972621492129
98,Children From Other Unions,1,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,26 Jan 16,14.45311430527036
98,Children From Other Unions,1,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,26 Jan 16,12.6652977412731
98,Children From Other Unions,1,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,26 Jan 16,10.65297741273101
99,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,26 Jan 16,3.586584531143053
100,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,26 Jan 16,2.225872689938398
101,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,26 Jan 16,10.92402464065708
101,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,26 Jan 16,1.212867898699521
101,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,26 Jan 16,3.46611909650924
101,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,26 Jan 16,6.086242299794661
102,Children With Biological Father,0,Female,No,,Biological Mother,, ,26 Jan 16,.8898015058179329
103,Children From Other Unions,1,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,26 Jan 16,2.001368925393566
105,Children From Other Unions,1,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,27 Jan 16,20.6570841889117
105,Children From Other Unions,2,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,27 Jan 16,13.65092402464066
105,Children From Other Unions,1,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,27 Jan 16,10.8227241615332
109,Children From Other Unions,1,Female,Yes,No,Biological Mother,Maternal Grandparent, ,27 Jan 16,19.06913073237509
111,Children Not Mentioned,,Female,Yes,Yes,,Biolgical Mother, ,27 Jan 16,1.193702943189596
111,Children Not Mentioned,,Male,Yes,Yes,,Biolgical Mother, ,27 Jan 16,17.52498288843258
111,Children Not Mentioned,,Female,Yes,Yes,,Biolgical Mother, ,27 Jan 16,14.05886379192334
111,Children Not Mentioned,,Female,Yes,Yes,,Biolgical Mother, ,27 Jan 16,10.16290212183436
112,Children From Other Unions,1,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,27 Jan 16,13.37440109514031
112,Children From Other Unions,2,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,27 Jan 16,3.134839151266256
112,Children From Other Unions,3,Male,Yes,No,Biological Mother,Maternal Grandparent, ,27 Jan 16,10.48870636550308
113,Children From Other Unions,1,,,,Biological Mother,, ,27 Jan 16,.7337440109514032
115,Children From Other Unions,1,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,27 Jan 16,7.047227926078029
116,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,27 Jan 16,13.97125256673511
116,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,27 Jan 16,11.05817932922656
116,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,27 Jan 16,2.863791923340178
117,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,27 Jan 16,19.81382614647502
117,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,27 Jan 16,13.98220396988364
117,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,27 Jan 16,7.819301848049282
117,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,27 Jan 16,.0082135523613963
118,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,27 Jan 16,15.7864476386037
119,Children From Other Unions,1,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,27 Jan 16,8.008213552361397
120,Children From Other Unions,1,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,27 Jan 16,2.154688569472964
126,Children From Other Unions,1,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,28 Jan 16,20.02464065708419
126,Children From Other Unions,2,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,28 Jan 16,17.90554414784394
126,Children From Other Unions,3,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,28 Jan 16,12.90622861054073
127,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,28 Jan 16,12.87885010266941
127,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,28 Jan 16,8.577686516084873
131,Children With Biological Father,0,,,,Biological Mother,, ,28 Jan 16,8.05201916495551
132,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,28 Jan 16,5.054072553045859
132,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,28 Jan 16,1.505817932922656
133,Children Not Mentioned,,Male,Yes,Yes,,Biolgical Mother, ,28 Jan 16,8.484599589322382
133,Children Not Mentioned,,Male,Yes,No,,Non-Relative,Kawangware,28 Jan 16,20.12320328542095
133,Children Not Mentioned,,Female,Yes,No,,Non-Relative, ,28 Jan 16,22.32717316906228
