PI7,ID,KST_Number,S19_1,S19_3,S19_4,S20_1,S20_3,S20_12,S20_13,S20_14,S20_15,S20_16,S20_18,S20_1_1,S20_1_2,S20_1_3,S20_2_1,S20_2_2,S20_2_3,S20_2_4,S20_2_5,S20_2_5_4,S20_2_5_0,S20_2_5_1,S20_2_5_2,S20_2_5_3,S20_2_5_97,S20_2_5_98,S20_3_1,S20_3_2,S20_3_3,S20_3_4,S20_3_5,S20_3_6,S20_3_6_0,S20_3_6_1,S20_3_6_2,S20_3_6_3,S20_3_6_4,S20_3_6_5,S20_3_6_6,S20_3_6_7,S20_3_6_8,S20_3_6_9,S20_3_6_97,S20_3_6_98,S20_3_7,S20_3_8,S20_3_9,S20_4_1,S20_4_2,S20_4_3,S20_4_3_1,S20_4_3_2,S20_4_3_3,S20_4_3_4,S20_4_3_5,S20_4_3_6,S20_4_3_7,S20_4_3_8,S20_4_3_97,S20_4_3_98,S20_4_5,S20_5_1,S20_5_2,S20_5_3,S20_5_4,S20_5_5,Additional_Record_Flag,KST_ID
6C38AE60-492E-4B5D-8126-1985323FFBA7,204,32,Maternal Aunt,Yes,25,No,,No,Yes,< 1 Hour,Walk,0-49 KSH, ,Employed Part Time,Don't Know,Average,Once A Week,Somewhat,Once A Week,1-3 Times In A Month,0,No,Yes,No,No,No,No,No,No,,,,, ,,,,,,,,,,,,, ,,,No,, ,,,,,,,,,,,,Agree,Agree,Agree,Agree,Yes,No,204032
6C38AE60-492E-4B5D-8126-1985323FFBA7,204,1,Biological Father,Yes,32,No,,No,Yes,< 1 Hour,Matatu,50-99 KSH, ,Not Employed And Looking For Work,,Average,1-3 Times In A Month,Somewhat,1-3 Times In A Month,1-3 Times In A Month,1,No,No,Yes,No,No,No,No,No,,,,, ,,,,,,,,,,,,, ,,,No,, ,,,,,,,,,,,,Agree,Agree,Don't Agree,Agree,Yes,No,204001
6C38AE60-492E-4B5D-8126-1985323FFBA7,204,73,Maternal Grandfather,Yes,56,No,,No,Yes,3<6 Hours,Matatu,500-999 KSH, ,Employed Part Time,Don't Know,Poor,Not In The last Month,0,Not In The last Month,Not In The last Month,4,Yes,No,No,No,No,No,No,No,,,,, ,,,,,,,,,,,,, ,,,No,, ,,,,,,,,,,,,Don't Agree,Agree,Agree,Agree,Yes,No,204073
6C38AE60-492E-4B5D-8126-1985323FFBA7,204,75, Paternal Grandfather,No,,,,,,,,, ,,,,,,,, ,,,,,,,,,,,,, ,,,,,,,,,,,,, ,,,,, ,,,,,,,,,,,,,,,,,No,204075
6C38AE60-492E-4B5D-8126-1985323FFBA7,204,42,Maternal Uncle,Yes,32,No,,No,Yes,< 1 Hour,Walk,0-49 KSH, ,Employed Part Time,Don't Know,Average,Daily,Somewhat,Daily,1-3 Times In A Month,0,No,Yes,No,No,No,No,No,No,,,,, ,,,,,,,,,,,,, ,,,No,, ,,,,,,,,,,,,Don't Agree,Agree,Agree,Agree,Yes,No,204042
6C38AE60-492E-4B5D-8126-1985323FFBA7,204,43,Maternal Uncle,Yes,31,No,,No,Yes,< 1 Hour,Walk,0-49 KSH, ,Employed Part Time,Don't Know,Average,2-3 Times A Week,Somewhat,2-3 Times A Week,1-3 Times In A Month,0,No,Yes,No,No,No,No,No,No,,,,, ,,,,,,,,,,,,, ,,,No,, ,,,,,,,,,,,,Don't Agree,Agree,Agree,Agree,Yes,No,204043
6C38AE60-492E-4B5D-8126-1985323FFBA7,204,44,Maternal Uncle,Yes,13,Yes,,No,,,,, ,Not Employed And Not Looking For Work,,Average,,,,, ,,,,,,,,No,,,,, ,,,,,,,,,,,,, ,,,No,, ,,,,,,,,,,,,Don't Agree,Agree,Agree,Agree,Yes,No,204044
6C38AE60-492E-4B5D-8126-1985323FFBA7,204,74,Paternal Grandmother,Yes,Don't Know,No,,No,Yes,< 1 Hour,Matatu,50-99 KSH, ,Don't Know,,Average,Not In The last Month,Somewhat,Not In The last Month,Not In The last Month,4,Yes,No,No,No,No,No,No,No,,,,, ,,,,,,,,,,,,, ,,,No,, ,,,,,,,,,,,,Don't Agree,Somewhat Agree,Agree,Agree,Yes,No,204074
6C38AE60-492E-4B5D-8126-1985323FFBA7,204,72,Maternal Grandmother,Yes,50,Yes,,No,,,,, ,Employed Full Time,5000-7499,Average,,,,, ,,,,,,,,Yes,Yes,Unsure/Don't Know,More Than Half Of All Expenses,Regularly Every Month,1 3 4,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No, ,Unsure/Don't Know,Satisfied,Yes,3-5 Hours,1 2 4,Yes,Yes,No,Yes,No,No,No,No,No,No,Satisfied,Don't Agree,Agree,Agree,Agree,Yes,No,204072
AC67F82A-C13B-4832-A5C3-DF1B3181FAB4,170,72,Maternal Grandmother,Yes,73,No,,No,Yes,6<11 Hours,Matatu,>= 1000 KSH, ,Employed Part Time,Don't Know,Average,Not In The last Month,Somewhat,Not In The last Month,Not In The last Month,4,Yes,No,No,No,No,No,No,No,,,,, ,,,,,,,,,,,,, ,,,No,, ,,,,,,,,,,,,Don't Agree,Agree,Don't Agree,Agree,Yes,No,170072
AC67F82A-C13B-4832-A5C3-DF1B3181FAB4,170,33,Maternal Aunt,Yes,Don't Know,No,,No,Yes,1<3 Hours,Matatu,100-249 KSH, ,Don't Know,,Average,Not In The last Month,Somewhat,Not In The last Month,Not In The last Month,4,Yes,No,No,No,No,No,No,No,,,,, ,,,,,,,,,,,,, ,,,No,, ,,,,,,,,,,,,Don't Agree,Agree,Don't Agree,Agree,Yes,No,170033
AC67F82A-C13B-4832-A5C3-DF1B3181FAB4,170,75, Paternal Grandfather,Don't Know,,,,,,,,, ,,,,,,,, ,,,,,,,,,,,,, ,,,,,,,,,,,,, ,,,,, ,,,,,,,,,,,,,,,,,No,170075
AC67F82A-C13B-4832-A5C3-DF1B3181FAB4,170,13,Sibling (Brother),Yes,19,Yes,,No,,,,, ,Not Employed And Looking For Work,,Poor,,,,, ,,,,,,,,No,,,,, ,,,,,,,,,,,,, ,,,Yes,1-2 hours,1 2,Yes,Yes,No,No,No,No,No,No,No,No,Satisfied,Don't Agree,Agree,Agree,Agree,Yes,No,170013
AC67F82A-C13B-4832-A5C3-DF1B3181FAB4,170,12,Sibling (Sister),Yes,21,Yes,,No,,,,, ,Employed Part Time,2500-4999,Average,,,,, ,,,,,,,,Yes,Yes,Unsure/Don't Know,Half Of All Expenses,Regularly Every Month,1,No,Yes,No,No,No,No,No,No,No,No,No,No, ,Unsure/Don't Know,Satisfied,Yes,3-5 Hours,1 2 3,Yes,Yes,Yes,No,No,No,No,No,No,No,Satisfied,Don't Agree,Agree,Agree,Agree,Yes,No,170012
AC67F82A-C13B-4832-A5C3-DF1B3181FAB4,170,14,Sibling (Sister),Yes,12,Yes,,No,,,,, ,Not Employed And Not Looking For Work,,Poor,,,,, ,,,,,,,,No,,,,, ,,,,,,,,,,,,, ,,,No,, ,,,,,,,,,,,,Don't Agree,Agree,Agree,Agree,Yes,No,170014
AC67F82A-C13B-4832-A5C3-DF1B3181FAB4,170,74,Paternal Grandmother,Don't Know,,,,,,,,, ,,,,,,,, ,,,,,,,,,,,,, ,,,,,,,,,,,,, ,,,,, ,,,,,,,,,,,,,,,,,No,170074
AC67F82A-C13B-4832-A5C3-DF1B3181FAB4,170,2,Sibling (Sister),Yes,5,,,,,,,, ,,,,,,,, ,,,,,,,,,,,,, ,,,,,,,,,,,,, ,,,,, ,,,,,,,,,,,,,,,,,No,170002
AC67F82A-C13B-4832-A5C3-DF1B3181FAB4,170,43,Maternal Uncle,Yes,Don't Know,No,,No,Yes,6<11 Hours,Matatu,>= 1000 KSH, ,Employed Part Time,Don't Know,Average,Not In The last Month,Somewhat,Not In The last Month,Not In The last Month,4,Yes,No,No,No,No,No,No,No,,,,, ,,,,,,,,,,,,, ,,,No,, ,,,,,,,,,,,,Don't Agree,Agree,Don't Agree,Agree,Yes,No,170043
AC67F82A-C13B-4832-A5C3-DF1B3181FAB4,170,73,Maternal Grandfather,Yes,72,No,,No,Yes,6<11 Hours,Matatu,>= 1000 KSH, ,Employed Part Time,Don't Know,Average,Not In The last Month,Somewhat,Not In The last Month,Not In The last Month,4,Yes,No,No,No,No,No,No,No,,,,, ,,,,,,,,,,,,, ,,,No,, ,,,,,,,,,,,,Don't Agree,Agree,Don't Agree,Agree,Yes,No,170073
AC67F82A-C13B-4832-A5C3-DF1B3181FAB4,170,32,Maternal Aunt,Yes,Don't Know,No,,No,No,,,, ,Don't Know,,Average,Not In The last Month,Somewhat,Not In The last Month,Not In The last Month,4,Yes,No,No,No,No,No,No,No,,,,, ,,,,,,,,,,,,, ,,,No,, ,,,,,,,,,,,,Don't Agree,Agree,Don't Agree,Agree,Yes,No,170032
AC67F82A-C13B-4832-A5C3-DF1B3181FAB4,170,1,Biological Father,Don't Know,,,,,,,,, ,,,,,,,, ,,,,,,,,,,,,, ,,,,,,,,,,,,, ,,,,, ,,,,,,,,,,,,,,,,,No,170001
AC67F82A-C13B-4832-A5C3-DF1B3181FAB4,170,42,Maternal Uncle,Yes,Don't Know,No,,No,Yes,< 1 Hour,Walk,0-49 KSH, ,Employed Part Time,Don't Know,Average,2-3 Times A Week,Somewhat,2-3 Times A Week,1-3 Times In A Month,0,No,Yes,No,No,No,No,No,No,,,,, ,,,,,,,,,,,,, ,,,No,, ,,,,,,,,,,,,Don't Agree,Agree,Agree,Agree,Yes,No,170042
C1B1BE1F-6B20-471E-AA42-E23F5D4B77B6,157,74,Paternal Grandmother,Yes,98,No,,No,No,,,, ,Don't Know,,Don't Know,1-3 Times In A Month,0,Don't Know,Not In The last Month,4,Yes,No,No,No,No,No,No,No,,,,, ,,,,,,,,,,,,, ,,,No,, ,,,,,,,,,,,,Don't Agree,Don't Agree,Don't Agree,Don't Agree,Don't Know,No,157074
C1B1BE1F-6B20-471E-AA42-E23F5D4B77B6,157,45,Maternal Uncle,Yes,12,Yes,,No,,,,, ,Not Employed And Not Looking For Work,,Poor,,,,, ,,,,,,,,No,,,,, ,,,,,,,,,,,,, ,,,Yes,10 Or More Hours,1 4,Yes,No,No,Yes,No,No,No,No,No,No,Satisfied,Somewhat Agree,Agree,Don't Agree,Agree,Don't Know,No,157045
C1B1BE1F-6B20-471E-AA42-E23F5D4B77B6,157,42,Maternal Uncle,Yes,27,No,,No,Yes,< 1 Hour,Walk,0-49 KSH, ,Employed Part Time,Don't Know,Poor,2-3 Times A Week,Don't Know,2-3 Times A Week,Not In The last Month,0,No,Yes,No,No,No,No,No,Yes,No,,,,4,No,No,No,No,Yes,No,No,No,No,No,No,No, ,< 500 Kshs,Satisfied,No,, ,,,,,,,,,,,,Don't Agree,Agree,Agree,Agree,Yes,No,157042
C1B1BE1F-6B20-471E-AA42-E23F5D4B77B6,157,44,Maternal Uncle,Yes,15,Yes,,No,,,,, ,Not Employed And Not Looking For Work,,Poor,,,,, ,,,,,,,,No,,,,, ,,,,,,,,,,,,, ,,,No,, ,,,,,,,,,,,,Don't Agree,Agree,Don't Agree,Agree,Don't Know,No,157044
C1B1BE1F-6B20-471E-AA42-E23F5D4B77B6,157,1,Biological Father,No,,,,,,,,, ,,,,,,,, ,,,,,,,,,,,,, ,,,,,,,,,,,,, ,,,,, ,,,,,,,,,,,,,,,,,No,157001
C1B1BE1F-6B20-471E-AA42-E23F5D4B77B6,157,43,Maternal Uncle,Yes,23,Yes,,No,,,,, ,Employed Full Time,Don't Know,Average,,,,, ,,,,,,,,Yes,Yes,500-999 Kshs,Less Than Half Of All Expenses,Upon Request,5,No,No,No,No,No,Yes,No,No,No,No,No,No, ,< 500 Kshs,Satisfied,No,, ,,,,,,,,,,,,Agree,Agree,Agree,Agree,Yes,No,157043
C1B1BE1F-6B20-471E-AA42-E23F5D4B77B6,157,75, Paternal Grandfather,Don't Know,,,,,,,,, ,,,,,,,, ,,,,,,,,,,,,, ,,,,,,,,,,,,, ,,,,, ,,,,,,,,,,,,,,,,,No,157075
C1B1BE1F-6B20-471E-AA42-E23F5D4B77B6,157,152,Paternal Aunt,Yes,98,No,,No,Yes,< 1 Hour,Walk,0-49 KSH, ,Don't Know,,Don't Know,Not In The last Month,0,Don't Know,Not In The last Month,4,Yes,No,No,No,No,No,No,No,,,,, ,,,,,,,,,,,,, ,,,No,, ,,,,,,,,,,,,Agree,Agree,Somewhat Agree,Don't Know,Don't Know,No,157152
C1B1BE1F-6B20-471E-AA42-E23F5D4B77B6,157,73,Maternal Grandfather,Yes,98,No,,No,Yes,3<6 Hours,Matatu,250-499 KSH, ,Employed Part Time,Don't Know,Average,Not In The last Month,Don't Know,Not In The last Month,1-3 Times In A Month,0,No,Yes,No,No,No,No,No,No,,,,, ,,,,,,,,,,,,, ,,,No,, ,,,,,,,,,,,,Somewhat Agree,Somewhat Agree,Don't Know,Agree,Don't Know,No,157073
C1B1BE1F-6B20-471E-AA42-E23F5D4B77B6,157,72,Maternal Grandmother,Yes,98,Yes,,No,,,,, ,Employed Part Time,1000-2499,Poor,,,,, ,,,,,,,,Yes,Yes,< 500 Kshs,Less Than Half Of All Expenses,Regularly Every Month,1 4,No,Yes,No,No,Yes,No,No,No,No,No,No,No, ,< 500 Kshs,Satisfied,Yes,10 Or More Hours,1 4 6 7,Yes,No,No,Yes,No,Yes,Yes,No,No,No,Satisfied,Agree,Agree,Agree,Agree,Yes,No,157072
C1B1BE1F-6B20-471E-AA42-E23F5D4B77B6,157,153,Paternal Aunt,Yes,98,No,,Don't Know,Yes,< 1 Hour,Walk,0-49 KSH, ,Don't Know,,Don't Know,Don't Know,0,Don't Know,Not In The last Month,4,Yes,No,No,No,No,No,No,No,,,,, ,,,,,,,,,,,,, ,,,No,, ,,,,,,,,,,,,Don't Agree,Don't Agree,Don't Agree,Don't Agree,Don't Know,No,157153
C1B1BE1F-6B20-471E-AA42-E23F5D4B77B6,157,62,Paternal Uncle,Yes,98,No,,Don't Know,,,,, ,Don't Know,,Don't Know,Not In The last Month,0,Not In The last Month,Not In The last Month,4,Yes,No,No,No,No,No,No,No,,,,, ,,,,,,,,,,,,, ,,,No,, ,,,,,,,,,,,,Don't Agree,Don't Agree,Don't Agree,Don't Agree,Don't Know,No,157062
5ADC7C7E-73BF-4890-9339-15A79679056F,259,64,Paternal Uncle,Yes,Don't Know,No,,No,No,,,, ,Not Employed And Not Looking For Work,,Poor,Not In The last Month,0,Not In The last Month,Not In The last Month,4,Yes,No,No,No,No,No,No,No,,,,, ,,,,,,,,,,,,, ,,,No,, ,,,,,,,,,,,,Don't Agree,Somewhat Agree,Don't Agree,Agree,Yes,No,259064
5ADC7C7E-73BF-4890-9339-15A79679056F,259,62,Paternal Uncle,No,,,,,,,,, ,,,,,,,, ,,,,,,,,,,,,, ,,,,,,,,,,,,, ,,,,, ,,,,,,,,,,,,,,,,,No,259062
5ADC7C7E-73BF-4890-9339-15A79679056F,259,32,Maternal Aunt,Yes,98,No,,No,Yes,1<3 Hours,Matatu,100-249 KSH, ,Not Employed And Not Looking For Work,,Average,Not In The last Month,0,Not In The last Month,Not In The last Month,4,Yes,No,No,No,No,No,No,No,,,,, ,,,,,,,,,,,,, ,,,No,, ,,,,,,,,,,,,Don't Agree,Agree,Somewhat Agree,Agree,Yes,No,259032
5ADC7C7E-73BF-4890-9339-15A79679056F,259,33,Maternal Aunt,Yes,Don't Know,No,,No,Yes,1<3 Hours,Matatu,100-249 KSH, ,Don't Know,,Average,1-3 Times In A Month,0,1-3 Times In A Month,Not In The last Month,4,Yes,No,No,No,No,No,No,No,,,,, ,,,,,,,,,,,,, ,,,No,, ,,,,,,,,,,,,Somewhat Agree,Agree,Agree,Agree,Yes,No,259033
5ADC7C7E-73BF-4890-9339-15A79679056F,259,1,Biological Father,Yes,25,No,,No,No,,,, ,Employed Full Time,Don't Know,Average,1-3 Times In A Month,0,Not In The last Month,1-3 Times In A Month,0,No,Yes,No,No,No,No,No,No,,,,, ,,,,,,,,,,,,, ,,,No,, ,,,,,,,,,,,,Don't Agree,Somewhat Agree,Somewhat Agree,Agree,Yes,No,259001
5ADC7C7E-73BF-4890-9339-15A79679056F,259,63,Paternal Uncle,Yes,Don't Know,No,,No,No,,,, ,Employed Part Time,Don't Know,Average,Not In The last Month,0,Not In The last Month,Not In The last Month,4,Yes,No,No,No,No,No,No,No,,,,, ,,,,,,,,,,,,, ,,,No,, ,,,,,,,,,,,,Don't Agree,Agree,Somewhat Agree,Agree,Yes,No,259063
5ADC7C7E-73BF-4890-9339-15A79679056F,259,34,Maternal Aunt,Yes,Don't Know,No,,No,Yes,< 1 Hour,Matatu,50-99 KSH, ,Employed Full Time,2500-4999,Average,Not In The last Month,Somewhat,Not In The last Month,Not In The last Month,4,Yes,No,No,No,No,No,No,No,,,,, ,,,,,,,,,,,,, ,,,No,, ,,,,,,,,,,,,Don't Agree,Agree,Agree,Agree,Yes,No,259034
5ADC7C7E-73BF-4890-9339-15A79679056F,259,153,Paternal Aunt,Yes,Don't Know,No,,No,No,,,, ,Not Employed And Not Looking For Work,,Average,Not In The last Month,0,Not In The last Month,Not In The last Month,4,Yes,No,No,No,No,No,No,No,,,,, ,,,,,,,,,,,,, ,,,No,, ,,,,,,,,,,,,Don't Agree,Somewhat Agree,Agree,Agree,Yes,No,259153
5ADC7C7E-73BF-4890-9339-15A79679056F,259,152,Paternal Aunt,Yes,Don't Know,No,,No,No,,,, ,Not Employed And Not Looking For Work,,Average,Not In The last Month,0,Not In The last Month,Not In The last Month,4,Yes,No,No,No,No,No,No,No,,,,, ,,,,,,,,,,,,, ,,,No,, ,,,,,,,,,,,,Don't Agree,Somewhat Agree,Agree,Agree,Yes,No,259152
5ADC7C7E-73BF-4890-9339-15A79679056F,259,65,Paternal Uncle,Yes,21,No,,No,No,,,, ,Employed Part Time,Don't Know,Average,Not In The last Month,0,Not In The last Month,Not In The last Month,4,Yes,No,No,No,No,No,No,No,,,,, ,,,,,,,,,,,,, ,,,No,, ,,,,,,,,,,,,Don't Agree,Somewhat Agree,Somewhat Agree,Agree,Yes,No,259065
5ADC7C7E-73BF-4890-9339-15A79679056F,259,74,Paternal Grandmother,Yes,Don't Know,No,,No,No,,,, ,Employed Part Time,7500-9999,Rich,Not In The last Month,0,Not In The last Month,Not In The last Month,4,Yes,No,No,No,No,No,No,No,,,,, ,,,,,,,,,,,,, ,,,No,, ,,,,,,,,,,,,Don't Agree,Agree,Agree,Agree,Yes,No,259074
5ADC7C7E-73BF-4890-9339-15A79679056F,259,75, Paternal Grandfather,Yes,Don't Know,No,,No,No,,,, ,Employed Full Time,7500-9999,Rich,Not In The last Month,0,Not In The last Month,Not In The last Month,4,Yes,No,No,No,No,No,No,No,,,,, ,,,,,,,,,,,,, ,,,No,, ,,,,,,,,,,,,Don't Agree,Don't Agree,Don't Agree,Agree,Yes,No,259075
5ADC7C7E-73BF-4890-9339-15A79679056F,259,37,Maternal Aunt,Yes,Don't Know,Yes,,No,,,,, ,Not Employed And Looking For Work,,Average,,,,, ,,,,,,,,No,,,,, ,,,,,,,,,,,,, ,,,No,, ,,,,,,,,,,,,Don't Agree,Don't Agree,Don't Agree,Don't Agree,Yes,No,259037
5ADC7C7E-73BF-4890-9339-15A79679056F,259,35,Maternal Aunt,Yes,Don't Know,No,,No,Yes,< 1 Hour,Walk,0-49 KSH, ,Employed Part Time,1000-2499,Poor,Daily,Somewhat,Daily,Not In The last Month,4,Yes,No,No,No,No,No,No,No,,,,, ,,,,,,,,,,,,, ,,,No,, ,,,,,,,,,,,,Agree,Agree,Agree,Agree,Yes,No,259035
5ADC7C7E-73BF-4890-9339-15A79679056F,259,52,Paternal Aunt,Yes,Don't Know,No,,No,No,,,, ,Not Employed And Looking For Work,,Average,Not In The last Month,0,Not In The last Month,Not In The last Month,4,Yes,No,No,No,No,No,No,No,,,,, ,,,,,,,,,,,,, ,,,No,, ,,,,,,,,,,,,Don't Agree,Somewhat Agree,Agree,Agree,Yes,No,259052
5ADC7C7E-73BF-4890-9339-15A79679056F,259,73,Maternal Grandfather,Yes,Don't Know,No,,No,No,,,, ,Employed Full Time,Don't Know,Average,Not In The last Month,0,Not In The last Month,Not In The last Month,4,Yes,No,No,No,No,No,No,No,,,,, ,,,,,,,,,,,,, ,,,No,, ,,,,,,,,,,,,Don't Agree,Don't Agree,Don't Agree,Don't Agree,Yes,No,259073
5ADC7C7E-73BF-4890-9339-15A79679056F,259,72,Maternal Grandmother,Yes,53,Yes,,No,,,,, ,Employed Part Time,5000-7499,Average,,,,, ,,,,,,,,Yes,Yes,Unsure/Don't Know,More Than Half Of All Expenses,Regularly Every Month,1,No,Yes,No,No,No,No,No,No,No,No,No,No, ,Unsure/Don't Know,Satisfied,No,, ,,,,,,,,,,,,Agree,Agree,Agree,Agree,Yes,No,259072
5ADC7C7E-73BF-4890-9339-15A79679056F,259,36,Maternal Aunt,Yes,Don't Know,No,,No,Yes,< 1 Hour,Walk,0-49 KSH, ,Employed Part Time,1000-2499,Average,Daily,Somewhat,Daily,Not In The last Month,4,Yes,No,No,No,No,No,No,No,,,,, ,,,,,,,,,,,,, ,,,No,, ,,,,,,,,,,,,Agree,Agree,Agree,Agree,Yes,No,259036
6A445400-91F9-4B97-AFFB-A635B6356A09,246,72,Maternal Grandmother,Yes,40,Yes,,No,,,,, ,Employed Part Time,2500-4999,Average,,,,, ,,,,,,,,Yes,Yes,< 500 Kshs,More Than Half Of All Expenses,Regularly Every Month,1 4 5 6 9,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,No, ,500-999 Kshs,Satisfied,Yes,10 Or More Hours,2 3 4 6 7,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Satisfied,Don't Agree,Agree,Agree,Agree,Yes,No,246072
6A445400-91F9-4B97-AFFB-A635B6356A09,246,1,Biological Father,Yes,21,No,,Yes,No,,,, ,Employed Part Time,Don't Know,Average,Daily,0,Daily,1-3 Times In A Month,0,No,Yes,No,No,No,No,No,No,,,,, ,,,,,,,,,,,,, ,,,No,, ,,,,,,,,,,,,Don't Agree,Somewhat Agree,Don't Know,Agree,Don't Know,No,246001
6A445400-91F9-4B97-AFFB-A635B6356A09,246,262,Paternal Uncle,Yes,98,No,,Don't Know,No,,,, ,Don't Know,,Don't Know,Not In The last Month,0,1-3 Times In A Month,Not In The last Month,4,Yes,No,No,No,No,No,No,No,,,,, ,,,,,,,,,,,,, ,,,No,, ,,,,,,,,,,,,Don't Agree,Don't Know,Don't Agree,Don't Know,Don't Know,No,246262
6A445400-91F9-4B97-AFFB-A635B6356A09,246,52,Paternal Aunt,Yes,98,No,,No,No,,,, ,Don't Know,,Don't Know,1-3 Times In A Month,0,Don't Know,Not In The last Month,4,Yes,No,No,No,No,No,No,No,,,,, ,,,,,,,,,,,,, ,,,No,, ,,,,,,,,,,,,Don't Agree,Don't Know,Don't Know,Don't Know,Don't Know,No,246052
6A445400-91F9-4B97-AFFB-A635B6356A09,246,74,Paternal Grandmother,Yes,98,No,,No,Yes,< 1 Hour,Walk,0-49 KSH, ,Employed Part Time,Don't Know,Average,Not In The last Month,Don't Know,Don't Know,Not In The last Month,4,Yes,No,No,No,No,No,No,No,,,,, ,,,,,,,,,,,,, ,,,No,, ,,,,,,,,,,,,Don't Agree,Somewhat Agree,Don't Agree,Don't Know,Don't Know,No,246074
6A445400-91F9-4B97-AFFB-A635B6356A09,246,64,Paternal Uncle,Yes,98,No,,No,Yes,< 1 Hour,Walk,0-49 KSH, ,Employed Part Time,< 1000 Kshs,Poor,1-3 Times In A Month,Don't Know,Don't Know,Not In The last Month,4,Yes,No,No,No,No,No,No,No,,,,, ,,,,,,,,,,,,, ,,,No,, ,,,,,,,,,,,,Don't Agree,Don't Know,Somewhat Agree,Agree,Don't Know,No,246064
6A445400-91F9-4B97-AFFB-A635B6356A09,246,143,Maternal Uncle,Yes,10,Yes,,No,,,,, ,,,Very Poor,,,,, ,,,,,,,,No,,,,, ,,,,,,,,,,,,, ,,,Yes,3-5 Hours,4,No,No,No,Yes,No,No,No,No,No,No,Satisfied,Don't Agree,Agree,Don't Agree,Don't Know,Don't Know,No,246143
6A445400-91F9-4B97-AFFB-A635B6356A09,246,142,Maternal Uncle,Yes,22,Yes,,No,,,,, ,Not Employed And Looking For Work,,Poor,,,,, ,,,,,,,,No,,,,, ,,,,,,,,,,,,, ,,,Yes,3-5 Hours,4 6,No,No,No,Yes,No,Yes,No,No,No,No,Satisfied,Somewhat Agree,Agree,Somewhat Agree,Don't Know,Yes,No,246142
6A445400-91F9-4B97-AFFB-A635B6356A09,246,75, Paternal Grandfather,Yes,98,No,,No,No,,,, ,Don't Know,,Don't Know,Not In The last Month,0,Don't Know,Not In The last Month,4 0,Yes,Yes,No,No,No,No,No,No,,,,, ,,,,,,,,,,,,, ,,,No,, ,,,,,,,,,,,,Don't Agree,Agree,Don't Agree,Don't Agree,Don't Know,No,246075
6A445400-91F9-4B97-AFFB-A635B6356A09,246,73,Maternal Grandfather,Yes,43,Yes,,No,,,,, ,Employed Part Time,2500-4999,Average,,,,, ,,,,,,,,Yes,No,,,,6,No,No,No,No,No,No,Yes,No,No,No,No,No, ,< 500 Kshs,Satisfied,Yes,1-2 hours,4,No,No,No,Yes,No,No,No,No,No,No,Satisfied,Somewhat Agree,Agree,Agree,Agree,Yes,No,246073
6A445400-91F9-4B97-AFFB-A635B6356A09,246,63,Paternal Uncle,Yes,98,No,,No,Yes,< 1 Hour,Walk,0-49 KSH, ,Employed Part Time,Don't Know,Average,Not In The last Month,Not At All,Not In The last Month,Not In The last Month,4,Yes,No,No,No,No,No,No,No,,,,, ,,,,,,,,,,,,, ,,,No,, ,,,,,,,,,,,,Don't Agree,Somewhat Agree,Don't Know,Don't Know,Don't Know,No,246063
8CBEF26A-BCDC-4174-9C06-96F792CA8D49,180,74,Paternal Grandmother,Don't Know,,,,,,,,, ,,,,,,,, ,,,,,,,,,,,,, ,,,,,,,,,,,,, ,,,,, ,,,,,,,,,,,,,,,,,No,180074
8CBEF26A-BCDC-4174-9C06-96F792CA8D49,180,2,Sibling (Sister),Yes,15,Yes,,No,,,,, ,Not Employed And Not Looking For Work,,Average,,,,, ,,,,,,,,No,,,,, ,,,,,,,,,,,,, ,,,Yes,10 Or More Hours,1 2 3 4 5 6 7 8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Satisfied,Don't Agree,Agree,Don't Know,Agree,Yes,No,180002
8CBEF26A-BCDC-4174-9C06-96F792CA8D49,180,1,Biological Father,Yes,Don't Know,No,,Don't Know,,,,, ,Don't Know,,Don't Know,Not In The last Month,0,Not In The last Month,Not In The last Month,4,Yes,No,No,No,No,No,No,No,,,,, ,,,,,,,,,,,,, ,,,No,, ,,,,,,,,,,,,Don't Agree,Don't Agree,Don't Agree,Don't Agree,No,No,180001
8CBEF26A-BCDC-4174-9C06-96F792CA8D49,180,75, Paternal Grandfather,Don't Know,,,,,,,,, ,,,,,,,, ,,,,,,,,,,,,, ,,,,,,,,,,,,, ,,,,, ,,,,,,,,,,,,,,,,,No,180075
8CBEF26A-BCDC-4174-9C06-96F792CA8D49,180,72,Maternal Grandmother,No,,,,,,,,, ,,,,,,,, ,,,,,,,,,,,,, ,,,,,,,,,,,,, ,,,,, ,,,,,,,,,,,,,,,,,No,180072
